"","spp","Region","Type","avg","wrapper_spp","wrapper_id"
"1","ammspp","MAB","MS",1.3125,"yes","ammspp_MAB_MS"
"2","benspp","GB","SB",4,"yes","benspp_GB_SB"
"3","benspp","SNE","SB",2,"yes","benspp_SNE_SB"
"4","botspp","GB","SB",4.75,"yes","botspp_GB_SB"
"5","botspp","MAB","MS",5.375,"yes","botspp_MAB_MS"
"6","botspp","MAB","SB",5.28571428571429,"yes","botspp_MAB_SB"
"7","bretyr","GB","BANK",2.25,"yes","bretyr_GB_BANK"
"8","bretyr","GB","SB",3.5,"yes","bretyr_GB_SB"
"9","bretyr","MAB","IS",4.80952380952381,"yes","bretyr_MAB_IS"
"10","bretyr","MAB","MS",4.07692307692308,"yes","bretyr_MAB_MS"
"11","bretyr","MAB","SB",4.07692307692308,"yes","bretyr_MAB_SB"
"12","bretyr","SNE","C",5.23076923076923,"yes","bretyr_SNE_C"
"13","bretyr","SNE","IS",4.52941176470588,"yes","bretyr_SNE_IS"
"14","bretyr","SNE","MS",4.84615384615385,"yes","bretyr_SNE_MS"
"15","centstr","MAB","MS",5.28571428571429,"yes","centstr_MAB_MS"
"16","cermad","MAB","MS",4.88888888888889,"yes","cermad_MAB_MS"
"17","cermad","MAB","SB",5.44444444444444,"yes","cermad_MAB_SB"
"18","citarc","MAB","MS",5.6875,"yes","citarc_MAB_MS"
"19","citarc","SNE","MS",5.6875,"yes","citarc_SNE_MS"
"20","cluhar","GB","BANK",3.93103448275862,"yes","cluhar_GB_BANK"
"21","cluhar","GB","SB",5.25,"yes","cluhar_GB_SB"
"22","cluhar","GOM","BASIN",4.69565217391304,"yes","cluhar_GOM_BASIN"
"23","cluhar","GOM","IS",4.4,"yes","cluhar_GOM_IS"
"24","cluhar","GOM","MS",4.38709677419355,"yes","cluhar_GOM_MS"
"25","cluhar","MAB","IS",4.33333333333333,"yes","cluhar_MAB_IS"
"26","cluhar","MAB","MS",4.5,"yes","cluhar_MAB_MS"
"27","cluhar","MAB","SB",3.5,"yes","cluhar_MAB_SB"
"28","cluhar","SNE","C",4.84615384615385,"yes","cluhar_SNE_C"
"29","cluhar","SNE","IS",4,"yes","cluhar_SNE_IS"
"30","cluhar","SNE","MS",3.8,"yes","cluhar_SNE_MS"
"31","cycspp","GB","BANK",5,"yes","cycspp_GB_BANK"
"32","cycspp","GOM","MS",3.5,"yes","cycspp_GOM_MS"
"33","cycspp","MAB","SB",5.16666666666667,"yes","cycspp_MAB_SB"
"34","diaspp","GB","SB",4.88888888888889,"yes","diaspp_GB_SB"
"35","diaspp","MAB","MS",5.16666666666667,"yes","diaspp_MAB_MS"
"36","enccim","MAB","IS",3.5,"yes","enccim_MAB_IS"
"37","etrspp","MAB","MS",5.41176470588235,"yes","etrspp_MAB_MS"
"38","gadmor","GB","BANK",1.58823529411765,"yes","gadmor_GB_BANK"
"39","gadmor","GOM","IS",2.25,"yes","gadmor_GOM_IS"
"40","gadmor","GOM","MS",2.33333333333333,"yes","gadmor_GOM_MS"
"41","gadmor","SNE","C",1.71428571428571,"yes","gadmor_SNE_C"
"42","gadmor","SNE","IS",1.45454545454545,"yes","gadmor_SNE_IS"
"43","gadmor","SNE","MS",1.35714285714286,"yes","gadmor_SNE_MS"
"44","gadmor","SNE","SB",2.66666666666667,"yes","gadmor_SNE_SB"
"45","leixan","MAB","IS",2.66666666666667,"yes","leixan_MAB_IS"
"46","leixan","MAB","MS",2.25,"yes","leixan_MAB_MS"
"47","leixan","MAB","SB",2.25,"yes","leixan_MAB_SB"
"48","melaeg","GOM","BASIN",3.5,"yes","melaeg_GOM_BASIN"
"49","melaeg","MAB","MS",3.5,"yes","melaeg_MAB_MS"
"50","meralb","SNE","MS",5.58333333333333,"yes","meralb_SNE_MS"
