"","Region","Type",".y.","group1","group2","n1","n2","estimate","conf.low","conf.high","se","statistic","df","p.adj","p.adj.signif","method"
"1","GB","BANK","diff_ci","wind1","wind2",21,21,-0.0485146111715834,-0.761925121010246,0.664895898667079,0.16854134159007,0.203540628206773,39.7684718287111,1,"ns","Games-Howell"
"2","GB","BANK","diff_ci","wind1","wind3",21,21,-0.0825810029406805,-0.848703787292867,0.683541781411506,0.181006499855754,0.322604918735381,39.8221180478042,0.999,"ns","Games-Howell"
"3","GB","BANK","diff_ci","wind1","wind4",21,21,-0.102730268016687,-0.830539126142473,0.6250785901091,0.171982439793384,0.422376082319684,39.9547258770486,0.998,"ns","Games-Howell"
"4","GB","BANK","diff_ci","wind1","wind5",21,21,-0.129042970981956,-0.808647748083519,0.550561806119607,0.160317999455756,0.569163538439624,38.6126956931832,0.992,"ns","Games-Howell"
"5","GB","BANK","diff_ci","wind1","wind6",21,21,-0.15746059312409,-0.790666304913653,0.475745118665474,0.148548991606043,0.74952681915863,34.8246302268063,0.974,"ns","Games-Howell"
"6","GB","BANK","diff_ci","wind2","wind3",21,21,-0.0340663917690971,-0.774988719984279,0.706855936446085,0.17491689907292,0.137714404715373,39.2048993507973,1,"ns","Games-Howell"
"7","GB","BANK","diff_ci","wind2","wind4",21,21,-0.0542156568451032,-0.754874674986499,0.646443361296292,0.165561252074692,0.231553326163299,39.9270338774539,1,"ns","Games-Howell"
"8","GB","BANK","diff_ci","wind2","wind5",21,21,-0.0805283598103727,-0.730122460613961,0.569065740993215,0.153409352846398,0.371177820929591,39.478717947263,0.999,"ns","Games-Howell"
"9","GB","BANK","diff_ci","wind2","wind6",21,21,-0.108945981952506,-0.708861935832987,0.490969971927975,0.141065132114307,0.54610548664301,36.3145105539754,0.994,"ns","Games-Howell"
"10","GB","BANK","diff_ci","wind3","wind4",21,21,-0.0201492650760061,-0.774747940519556,0.734449410367543,0.178234949865592,0.0799376440025564,39.6018287323453,1,"ns","Games-Howell"
"11","GB","BANK","diff_ci","wind3","wind5",21,21,-0.0464619680412756,-0.755404169405969,0.662480233323418,0.16700778037505,0.196718815108369,37.5905140596426,1,"ns","Games-Howell"
"12","GB","BANK","diff_ci","wind3","wind6",21,21,-0.0748795901834092,-0.740255581070557,0.590496400703739,0.155745114412868,0.339964859833725,33.4879429002123,0.999,"ns","Games-Howell"
"13","GB","BANK","diff_ci","wind4","wind5",21,21,-0.0263127029652694,-0.692254394020009,0.63962898808947,0.157182076945989,0.118371579378498,39.039101826585,1,"ns","Games-Howell"
"14","GB","BANK","diff_ci","wind4","wind6",21,21,-0.0547303251074031,-0.67283207800236,0.563371427787554,0.145159041298609,0.266605398284343,35.49030647597,1,"ns","Games-Howell"
"15","GB","BANK","diff_ci","wind5","wind6",21,21,-0.0284176221421336,-0.584529852164997,0.527694607880729,0.131129892179252,0.153239608360474,38.2888495319991,1,"ns","Games-Howell"
"16","GB","SB","diff_ci","wind1","wind2",4,4,-0.0282762113150317,-1.59696526800571,1.54041284537565,0.261638520894811,0.0764195604635802,5.0750606689505,1,"ns","Games-Howell"
"17","GB","SB","diff_ci","wind1","wind3",4,4,-0.210349404141912,-2.14185653245082,1.721157724167,0.340287970663548,0.437098877745396,5.85663464551977,0.997,"ns","Games-Howell"
"18","GB","SB","diff_ci","wind1","wind4",4,4,-0.33948207908566,-2.07026124503495,1.39129708686363,0.307389921113826,0.78093022485239,5.99316850829544,0.961,"ns","Games-Howell"
"19","GB","SB","diff_ci","wind1","wind5",4,4,-0.000196771399117557,-1.78805741741194,1.7876638746137,0.317545237706192,0.000438168720981816,5.99412706779875,1,"ns","Games-Howell"
"20","GB","SB","diff_ci","wind1","wind6",4,4,0.00155929353502104,-1.58179458915967,1.58491317622971,0.270774179518254,0.00407197995922426,5.40351024794093,1,"ns","Games-Howell"
"21","GB","SB","diff_ci","wind2","wind3",4,4,-0.18207319282688,-2.01983589114281,1.65568950548905,0.294231069225818,0.437564903186219,4.61880793214958,0.997,"ns","Games-Howell"
"22","GB","SB","diff_ci","wind2","wind4",4,4,-0.311205867770629,-1.8306020286056,1.20819029306434,0.25546933812459,0.861378438058725,5.17634586240011,0.942,"ns","Games-Howell"
"23","GB","SB","diff_ci","wind2","wind5",4,4,0.0280794399159141,-1.588855091807,1.64501397163883,0.267602311479804,0.0741965279248402,4.98149924740573,1,"ns","Games-Howell"
"24","GB","SB","diff_ci","wind2","wind6",4,4,0.0298355048500527,-1.1570179087751,1.21668891847521,0.209987322029774,0.10046743582265,5.92787213680485,1,"ns","Games-Howell"
"25","GB","SB","diff_ci","wind3","wind4",4,4,-0.129132674943749,-2.04131463576855,1.78304928588105,0.335567832314285,0.272107697259741,5.79259910354095,1,"ns","Games-Howell"
"26","GB","SB","diff_ci","wind3","wind5",4,4,0.210152632742794,-1.74165690074642,2.16196216623201,0.344894454103898,0.430857469374879,5.90656554119009,0.997,"ns","Games-Howell"
"27","GB","SB","diff_ci","wind3","wind6",4,4,0.211908697676933,-1.62245359856132,2.04627099391518,0.30238363509874,0.495536331094241,4.93496544446035,0.994,"ns","Games-Howell"
"28","GB","SB","diff_ci","wind4","wind5",4,4,0.339285307686543,-1.42203617821879,2.10060679359188,0.312481751620273,0.767759847025109,5.97476061782274,0.964,"ns","Games-Howell"
"29","GB","SB","diff_ci","wind4","wind6",4,4,0.341041372620682,-1.19716535351009,1.87924809875145,0.264817906115836,0.910635805494843,5.49890006044393,0.929,"ns","Games-Howell"
"30","GB","SB","diff_ci","wind5","wind6",4,4,0.0017560649341386,-1.62607297475095,1.62958510461923,0.276541023696474,0.00449020332150143,5.31226346296973,1,"ns","Games-Howell"
"31","GOM","BASIN","diff_ci","wind1","wind2",3,3,-0.00529434481826208,-1.0005676004616,0.989978910825078,0.148181809887066,0.0252640126732568,3.98873592387512,1,"ns","Games-Howell"
"32","GOM","BASIN","diff_ci","wind1","wind3",3,3,0.114522501895938,-0.831072973025253,1.06011797681713,0.140821567585952,0.575051386497599,3.99064261707433,0.988,"ns","Games-Howell"
"33","GOM","BASIN","diff_ci","wind1","wind4",3,3,0.196804164740328,-0.863528676875762,1.25713700635642,0.156253853894281,0.890612013626202,3.91375878034475,0.93,"ns","Games-Howell"
"34","GOM","BASIN","diff_ci","wind1","wind5",3,3,0.272958497739067,-1.38782359198136,1.93374058745949,0.211849394851718,0.91107555378614,3.10536194612277,0.921,"ns","Games-Howell"
"35","GOM","BASIN","diff_ci","wind1","wind6",3,3,-0.349249151332406,-1.64860457360984,0.950106270945031,0.180549131782592,1.3678074261147,3.53610196043154,0.746,"ns","Games-Howell"
"36","GOM","BASIN","diff_ci","wind2","wind3",3,3,0.1198168467142,-0.857329199969878,1.09696289339828,0.144905407343148,0.584680077613445,3.95936713313727,0.987,"ns","Games-Howell"
"37","GOM","BASIN","diff_ci","wind2","wind4",3,3,0.20209850955859,-0.875861912789974,1.28005893190715,0.159944146616043,0.893469561719109,3.96342741971146,0.93,"ns","Games-Howell"
